product_id,product_name,brand,category,subcategory,price_usd,price_vnd,original_price_usd,discount_percentage,rating,review_count,stock_quantity,weight_kg,warranty_months,is_featured,launch_date,description,market_focus,vietnam_popularity_score,platform_availability,payment_methods_supported,data_source,created_at,target_market,market_size_usd,market_growth_rate,mobile_commerce_penetration
VN_MARKET_000001,Apple iPhone Standard,Apple,Electronics,Smartphones,1475.37,35408880.0,1846.35,8.42,3.8,1876,225,0.781,12,1,2024-01-14,High-quality smartphones device popular in Vietnamese market,Vietnam,0.78,"['Lazada', 'Shopee', 'Sendo']","['COD', 'MoMo', 'ZaloPay', 'Bank_Transfer', 'Credit_Card']",Vietnam_Market_Analysis,2025-10-01T19:06:24.371094,Vietnam,16400000000.0,25.2,65.3
VN_MARKET_000003,Oppo Standard,Oppo,Electronics,Smartphones,958.93,23014320.0,1060.67,18.28,3.7,1987,130,0.576,36,1,2025-07-19,High-quality smartphones device popular in Vietnamese market,Vietnam,0.74,"['Lazada', 'Sendo']","['Bank_Transfer', 'COD', 'MoMo', 'Credit_Card']",Vietnam_Market_Analysis,2025-10-01T19:06:24.371170,Vietnam,16400000000.0,25.2,65.3
VN_MARKET_000004,Xiaomi Ultra,Xiaomi,Electronics,Smartphones,1416.17,33988080.0,1626.51,17.57,4.7,1374,47,2.727,36,0,2024-09-03,High-quality smartphones device popular in Vietnamese market,Vietnam,0.83,"['Shopee', 'Sendo', 'Tiki']","['Credit_Card', 'MoMo', 'ZaloPay', 'COD', 'Bank_Transfer']",Vietnam_Market_Analysis,2025-10-01T19:06:24.371243,Vietnam,16400000000.0,25.2,65.3
VN_MARKET_000005,Vivo Ultra,Vivo,Electronics,Smartphones,299.36,7184640.0,336.84,4.55,3.6,204,302,2.074,36,0,2025-03-31,High-quality smartphones device popular in Vietnamese market,Vietnam,0.92,"['Tiki', 'Lazada', 'Sendo', 'Shopee']","['MoMo', 'Credit_Card', 'Bank_Transfer', 'ZaloPay']",Vietnam_Market_Analysis,2025-10-01T19:06:24.371259,Vietnam,16400000000.0,25.2,65.3
VN_MARKET_000006,Vivo Pro,Vivo,Electronics,Smartphones,581.24,13949760.0,671.99,14.45,4.1,317,53,1.315,36,0,2024-07-22,High-quality smartphones device popular in Vietnamese market,Vietnam,0.87,"['Sendo', 'Lazada']","['COD', 'Bank_Transfer', 'Credit_Card']",Vietnam_Market_Analysis,2025-10-01T19:06:24.371279,Vietnam,16400000000.0,25.2,65.3
VN_MARKET_000008,Vivo Plus,Vivo,Electronics,Smartphones,1476.04,35424960.0,1646.19,14.83,4.6,1280,221,2.092,24,0,2025-04-21,High-quality smartphones device popular in Vietnamese market,Vietnam,0.86,"['Sendo', 'Lazada', 'Tiki']","['MoMo', 'COD', 'Credit_Card']",Vietnam_Market_Analysis,2025-10-01T19:06:24.371321,Vietnam,16400000000.0,25.2,65.3
VN_MARKET_000010,Apple iPhone Max,Apple,Electronics,Smartphones,1451.49,34835760.0,1712.83,14.72,3.5,1013,466,2.08,36,1,2025-07-11,High-quality smartphones device popular in Vietnamese market,Vietnam,0.97,"['Tiki', 'Sendo', 'Shopee', 'Lazada']","['ZaloPay', 'COD', 'Bank_Transfer', 'Credit_Card', 'MoMo']",Vietnam_Market_Analysis,2025-10-01T19:06:24.371352,Vietnam,16400000000.0,25.2,65.3
VN_MARKET_000011,Xiaomi Plus,Xiaomi,Electronics,Smartphones,483.52,11604480.0,571.21,3.01,3.8,1590,34,2.042,12,0,2023-10-25,High-quality smartphones device popular in Vietnamese market,Vietnam,0.99,"['Lazada', 'Shopee']","['Credit_Card', 'Bank_Transfer', 'MoMo', 'ZaloPay']",Vietnam_Market_Analysis,2025-10-01T19:06:24.371366,Vietnam,16400000000.0,25.2,65.3
VN_MARKET_000013,Realme Pro,Realme,Electronics,Smartphones,362.12,8690880.0,405.74,15.88,3.7,393,323,1.696,36,0,2024-01-01,High-quality smartphones device popular in Vietnamese market,Vietnam,0.81,"['Tiki', 'Lazada', 'Shopee', 'Sendo']","['Credit_Card', 'Bank_Transfer', 'MoMo']",Vietnam_Market_Analysis,2025-10-01T19:06:24.371403,Vietnam,16400000000.0,25.2,65.3
VN_MARKET_000014,Apple iPhone Plus,Apple,Electronics,Smartphones,688.88,16533120.0,850.9,18.04,4.0,863,301,0.944,12,1,2025-02-21,High-quality smartphones device popular in Vietnamese market,Vietnam,0.99,"['Sendo', 'Lazada']","['COD', 'Bank_Transfer', 'ZaloPay', 'MoMo']",Vietnam_Market_Analysis,2025-10-01T19:06:24.371418,Vietnam,16400000000.0,25.2,65.3
VN_MARKET_000016,Oppo Pro,Oppo,Electronics,Smartphones,1351.29,32430960.0,1681.15,14.36,4.0,686,235,0.903,24,0,2024-06-11,High-quality smartphones device popular in Vietnamese market,Vietnam,0.83,"['Lazada', 'Shopee', 'Sendo', 'Tiki']","['ZaloPay', 'Bank_Transfer', 'COD']",Vietnam_Market_Analysis,2025-10-01T19:06:24.371458,Vietnam,16400000000.0,25.2,65.3
VN_MARKET_000018,Oppo Ultra,Oppo,Electronics,Smartphones,167.35,4016400.0,211.27,7.67,4.3,360,386,1.341,36,0,2025-08-29,High-quality smartphones device popular in Vietnamese market,Vietnam,0.91,"['Tiki', 'Lazada']","['Credit_Card', 'COD', 'ZaloPay']",Vietnam_Market_Analysis,2025-10-01T19:06:24.371500,Vietnam,16400000000.0,25.2,65.3
VN_MARKET_000019,Xiaomi Max,Xiaomi,Electronics,Smartphones,478.23,11477520.0,583.91,19.75,3.7,142,357,1.415,12,0,2024-11-26,High-quality smartphones device popular in Vietnamese market,Vietnam,0.86,"['Lazada', 'Sendo', 'Tiki']","['MoMo', 'ZaloPay', 'Bank_Transfer', 'COD', 'Credit_Card']",Vietnam_Market_Analysis,2025-10-01T19:06:24.371520,Vietnam,16400000000.0,25.2,65.3
VN_MARKET_000020,Realme Max,Realme,Electronics,Smartphones,226.99,5447760.0,291.0,17.18,4.9,1704,354,0.694,24,0,2024-04-15,High-quality smartphones device popular in Vietnamese market,Vietnam,0.85,"['Shopee', 'Lazada', 'Tiki']","['COD', 'MoMo', 'Credit_Card']",Vietnam_Market_Analysis,2025-10-01T19:06:24.371544,Vietnam,16400000000.0,25.2,65.3
VN_MARKET_000022,Realme Ultra,Realme,Electronics,Smartphones,592.1,14210400.0,766.63,0.86,3.5,628,6,0.424,12,0,2025-07-10,High-quality smartphones device popular in Vietnamese market,Vietnam,0.78,"['Lazada', 'Sendo']","['ZaloPay', 'Credit_Card', 'Bank_Transfer']",Vietnam_Market_Analysis,2025-10-01T19:06:24.371576,Vietnam,16400000000.0,25.2,65.3
VN_MARKET_000026,Samsung Galaxy Standard,Samsung,Electronics,Smartphones,1363.32,32719680.0,1566.1,24.57,4.2,214,187,2.727,36,0,2024-05-10,High-quality smartphones device popular in Vietnamese market,Vietnam,0.65,"['Sendo', 'Lazada', 'Tiki', 'Shopee']","['ZaloPay', 'Bank_Transfer', 'COD', 'Credit_Card', 'MoMo']",Vietnam_Market_Analysis,2025-10-01T19:06:24.371639,Vietnam,16400000000.0,25.2,65.3
VN_MARKET_000028,Samsung Galaxy Plus,Samsung,Electronics,Smartphones,1308.57,31405680.0,1549.58,19.67,3.8,912,129,1.221,36,0,2024-05-17,High-quality smartphones device popular in Vietnamese market,Vietnam,0.92,"['Sendo', 'Shopee']","['Bank_Transfer', 'MoMo', 'COD']",Vietnam_Market_Analysis,2025-10-01T19:06:24.371677,Vietnam,16400000000.0,25.2,65.3
VN_MARKET_000031,Samsung Galaxy Max,Samsung,Electronics,Smartphones,1265.48,30371520.0,1592.54,21.45,4.4,511,348,1.539,36,0,2023-10-14,High-quality smartphones device popular in Vietnamese market,Vietnam,0.92,"['Sendo', 'Tiki']","['COD', 'Bank_Transfer', 'Credit_Card', 'ZaloPay', 'MoMo']",Vietnam_Market_Analysis,2025-10-01T19:06:24.371726,Vietnam,16400000000.0,25.2,65.3
VN_MARKET_000032,Realme Plus,Realme,Electronics,Smartphones,352.4,8457600.0,452.75,19.51,3.7,1678,105,1.867,36,0,2024-04-08,High-quality smartphones device popular in Vietnamese market,Vietnam,0.6,"['Lazada', 'Sendo', 'Tiki']","['Bank_Transfer', 'Credit_Card', 'MoMo']",Vietnam_Market_Analysis,2025-10-01T19:06:24.371747,Vietnam,16400000000.0,25.2,65.3
VN_MARKET_000033,Apple iPhone Pro,Apple,Electronics,Smartphones,625.7,15016800.0,762.45,12.47,4.1,978,76,0.28,24,0,2025-08-15,High-quality smartphones device popular in Vietnamese market,Vietnam,0.82,"['Shopee', 'Lazada', 'Sendo']","['COD', 'Bank_Transfer', 'Credit_Card', 'MoMo']",Vietnam_Market_Analysis,2025-10-01T19:06:24.371868,Vietnam,16400000000.0,25.2,65.3
VN_MARKET_000034,Apple iPhone Ultra,Apple,Electronics,Smartphones,706.16,16947840.0,815.74,6.01,4.5,1109,3,0.157,36,0,2023-10-02,High-quality smartphones device popular in Vietnamese market,Vietnam,0.77,"['Tiki', 'Shopee']","['Bank_Transfer', 'Credit_Card', 'ZaloPay']",Vietnam_Market_Analysis,2025-10-01T19:06:24.371937,Vietnam,16400000000.0,25.2,65.3
VN_MARKET_000038,Oppo Plus,Oppo,Electronics,Smartphones,909.68,21832320.0,1166.49,21.32,4.1,1202,377,1.892,36,1,2025-04-03,High-quality smartphones device popular in Vietnamese market,Vietnam,0.72,"['Shopee', 'Tiki', 'Lazada', 'Sendo']","['Credit_Card', 'COD', 'Bank_Transfer', 'MoMo']",Vietnam_Market_Analysis,2025-10-01T19:06:24.372059,Vietnam,16400000000.0,25.2,65.3
VN_MARKET_000043,Realme Standard,Realme,Electronics,Smartphones,1061.22,25469280.0,1373.73,21.61,4.2,1584,91,2.689,12,0,2025-05-20,High-quality smartphones device popular in Vietnamese market,Vietnam,0.97,"['Sendo', 'Shopee']","['ZaloPay', 'COD', 'Credit_Card', 'MoMo', 'Bank_Transfer']",Vietnam_Market_Analysis,2025-10-01T19:06:24.372174,Vietnam,16400000000.0,25.2,65.3
VN_MARKET_000050,Oppo Max,Oppo,Electronics,Smartphones,523.53,12564720.0,678.75,16.29,4.3,781,32,0.419,36,0,2024-08-16,High-quality smartphones device popular in Vietnamese market,Vietnam,0.91,"['Lazada', 'Tiki', 'Shopee']","['COD', 'Credit_Card', 'ZaloPay']",Vietnam_Market_Analysis,2025-10-01T19:06:24.372315,Vietnam,16400000000.0,25.2,65.3
